,time,open,high,low,close,volume
0,2025-10-23 01:05:00,181.04,181.04,180.67,180.68,12543.6
1,2025-10-23 01:10:00,180.68,181.81,180.66,181.65,61535.7
2,2025-10-23 01:15:00,181.65,181.92,181.36,181.48,78466.4
3,2025-10-23 01:20:00,181.48,181.51,180.59,180.76,61604.4
4,2025-10-23 01:25:00,180.76,180.8,180.5,180.8,27366.9
5,2025-10-23 01:30:00,180.8,181.8,180.67,181.68,91688.3
6,2025-10-23 01:35:00,181.68,181.68,181.27,181.5,33017.2
7,2025-10-23 01:40:00,181.5,181.85,181.27,181.81,19568.2
8,2025-10-23 01:45:00,181.81,181.92,181.51,181.62,20556.1
9,2025-10-23 01:50:00,181.62,181.82,181.56,181.74,19223.3
10,2025-10-23 01:55:00,181.74,181.84,181.6,181.72,17313.3
11,2025-10-23 02:00:00,181.72,181.73,181.38,181.47,13898.3
12,2025-10-23 02:05:00,181.47,181.59,181.33,181.59,15725.0
13,2025-10-23 02:10:00,181.59,181.76,181.57,181.67,10017.8
14,2025-10-23 02:15:00,181.67,182.09,181.67,182.07,15662.7
15,2025-10-23 02:20:00,182.07,182.13,181.91,182.01,23597.0
16,2025-10-23 02:25:00,182.01,182.04,181.84,181.94,15537.9
17,2025-10-23 02:30:00,181.94,182.18,181.86,182.14,16484.2
18,2025-10-23 02:35:00,182.14,182.42,181.92,181.99,29486.3
19,2025-10-23 02:40:00,181.99,182.09,181.9,182.02,23068.6
20,2025-10-23 02:45:00,182.02,182.09,181.72,181.98,22770.2
21,2025-10-23 02:50:00,181.98,182.09,181.82,181.87,26295.3
22,2025-10-23 02:55:00,181.87,182.27,181.8,182.22,26353.7
23,2025-10-23 03:00:00,182.22,182.58,182.06,182.53,31344.1
24,2025-10-23 03:05:00,182.53,182.57,182.27,182.4,18198.0
25,2025-10-23 03:10:00,182.4,182.52,182.27,182.47,12616.5
26,2025-10-23 03:15:00,182.47,182.82,182.47,182.74,49354.8
27,2025-10-23 03:20:00,182.74,182.86,182.55,182.63,20530.7
28,2025-10-23 03:25:00,182.63,183.17,182.52,183.14,54734.2
29,2025-10-23 03:30:00,183.14,183.19,182.91,183.17,13355.1
30,2025-10-23 03:35:00,183.17,183.31,182.73,182.76,23400.0
31,2025-10-23 03:40:00,182.76,182.82,182.6,182.61,11423.6
32,2025-10-23 03:45:00,182.61,182.7,182.38,182.59,9902.3
33,2025-10-23 03:50:00,182.59,182.92,182.47,182.91,14167.6
34,2025-10-23 03:55:00,182.91,182.92,182.69,182.78,5064.0
35,2025-10-23 04:00:00,182.78,183.05,182.59,182.84,12000.2
36,2025-10-23 04:05:00,182.84,183.0,182.68,182.75,12280.9
37,2025-10-23 04:10:00,182.75,182.83,182.64,182.67,6334.2
38,2025-10-23 04:15:00,182.67,183.28,182.66,183.27,9725.9
39,2025-10-23 04:20:00,183.27,183.91,183.27,183.68,65966.0
40,2025-10-23 04:25:00,183.68,183.72,183.5,183.54,15949.4
41,2025-10-23 04:30:00,183.54,183.62,183.26,183.59,25904.2
42,2025-10-23 04:35:00,183.59,183.75,183.41,183.74,7091.5
43,2025-10-23 04:40:00,183.74,184.19,183.72,184.03,38395.5
44,2025-10-23 04:45:00,184.03,184.1,183.81,183.95,14402.0
45,2025-10-23 04:50:00,183.95,184.15,183.81,183.83,13434.9
46,2025-10-23 04:55:00,183.83,184.14,183.74,183.94,24544.5
47,2025-10-23 05:00:00,183.94,184.38,183.94,184.1,35275.4
48,2025-10-23 05:05:00,184.1,184.36,183.88,184.36,31460.1
49,2025-10-23 05:10:00,184.36,184.56,184.33,184.48,39200.6
50,2025-10-23 05:15:00,184.48,184.49,184.26,184.27,10821.2
51,2025-10-23 05:20:00,184.27,184.29,183.95,184.04,13456.8
52,2025-10-23 05:25:00,184.04,184.07,183.9,184.01,19357.6
53,2025-10-23 05:30:00,184.01,184.24,183.96,184.2,10173.8
54,2025-10-23 05:35:00,184.2,184.25,183.9,183.97,11524.2
55,2025-10-23 05:40:00,183.97,184.0,183.79,183.8,13603.3
56,2025-10-23 05:45:00,183.8,184.4,183.72,184.36,19402.5
57,2025-10-23 05:50:00,184.36,184.77,184.2,184.69,70163.5
58,2025-10-23 05:55:00,184.69,184.82,184.52,184.76,46581.1
